geom,start_s,end_s,duration_s,max_force_N,min_distance_m
fl_lleg_collision,0.06,0.08,0.02,175.44012451171875,-0.0008754219161346555
fr_lleg_collision,0.058,0.08,0.022,61.99688720703125,-0.0010997657664120197
hr_lleg_collision,0.264,0.29,0.026000000000000002,7.431078910827637,-2.3182030417956412e-05
hr_lleg_collision,0.294,0.322,0.028,17.69261360168457,-2.1039169951109216e-05
hr_lleg_collision,0.324,0.356,0.032,18.008169174194336,-1.3407159713096917e-05
hr_lleg_collision,0.358,0.528,0.17,13.200279235839844,-4.5934473746456206e-05
FL,0.0,10.0,10.0,366.6079406738281,-0.017456814646720886
FR,0.0,10.0,10.0,366.67083740234375,-0.01745733618736267
HL,0.0,10.0,10.0,194.1713409423828,-0.01567840576171875
HR,0.0,10.0,10.0,194.2167510986328,-0.015679210424423218
