geom,contact_percentage,total_contact_time_s,event_count,longest_event_s,first_contact_s,last_contact_s,max_force_N,mean_force_N,min_distance_mm
body_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
fl_uleg_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
fl_lleg_collision,0.2,0.02,1,0.02,0.06,0.078,175.44012451171875,46.56761627197265,-0.8754219161346555
FL,100.0,10.0,1,10.0,0.0,9.998,366.6079406738281,123.67799345887899,-17.456814646720886
fr_uleg_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
fr_lleg_collision,0.22,0.022,1,0.022,0.058,0.078,61.99688720703125,20.281288320367988,-1.0997657664120197
FR,100.0,10.0,1,10.0,0.0,9.998,366.67083740234375,123.78223120316267,-17.45733618736267
hl_uleg_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
hl_lleg_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
HL,100.0,10.0,1,10.0,0.0,9.998,194.1713409423828,124.8920940433383,-15.67840576171875
hr_uleg_collision,0.0,0.0,0,0.0,nan,nan,0.0,0.0,nan
hr_lleg_collision,2.56,0.256,4,0.17,0.264,0.526,18.008169174194336,6.499537746887654,-0.045934473746456206
HR,100.0,10.0,1,10.0,0.0,9.998,194.2167510986328,124.80827845621108,-15.679210424423218
